id,time_created,month,create_time,view_count,like_count,share_count,comment_count,voice_to_text,hashtag_names,video_description,cleaned_video_description,tokens,Dominant_Topic,topic_Keywords,Topic_Perc_Contrib
7028141107678694662,2021-11-08 10:17:04,2021-11-01,1636366624,5672,294,21,34,,"['corona', 'politiek', 'forumvoordemocratie', 'thierrybaudet']",FVD blijft zich inzetten voor onze vrijheden! #thierrybaudet #forumvoordemocratie #politiek #corona  @thierry_baudet @jongerenfvd,FVD blijft zich inzetten voor onze vrijheden thierrybaudet jongerenfvd,"['fvd', 'blijft', 'zich', 'inzetten', 'vrijheden', 'thierrybaudet', 'jongerenfvd']",1,"fvd, congres, snel, deze, mogelijk, grenzen, stem, nieuwe, rai, lid",0.9181
7082815520751291653,2022-04-04 18:21:37,2022-04-01,1649096497,3449,60,0,1,,"['studenten', 'politiek', 'forumvoordemocratie', 'thierrybaudet', 'studiefinanciering']",Wij willen een rechtvaardige compensatie voor studenten! Kamerlid Simone Kerseboom diende vijf moties in. #thierrybaudet #forumvoordemocratie #politiek #studenten #studiefinanciering,Wij willen een rechtvaardige compensatie voor studenten Kamerlid Simone Kerseboom diende vijf moties in,"['willen', 'rechtvaardige', 'compensatie', 'studenten', 'kamerlid', 'simone', 'kerseboom', 'diende', 'vijf', 'moties']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.9431
7082816307783142662,2022-04-04 18:24:41,2022-04-01,1649096681,3720,87,4,2,,"['studenten', 'politiek', 'forumvoordemocratie', 'thierrybaudet', 'studiefinanciering']",Wij willen een rechtvaardige compensatie voor studenten! Kamerlid Simone Kerseboom diende vijf moties in. #thierrybaudet #forumvoordemocratie #politiek #studenten #studiefinanciering,Wij willen een rechtvaardige compensatie voor studenten Kamerlid Simone Kerseboom diende vijf moties in,"['willen', 'rechtvaardige', 'compensatie', 'studenten', 'kamerlid', 'simone', 'kerseboom', 'diende', 'vijf', 'moties']",0,"denken, eigen, ralf, dekker, samenleving, laat, zit, partij, uur, klein",0.9431
7085645717284359430,2022-04-12 09:24:15,2022-04-01,1649755455,6393,186,21,38,,"['nederland', 'markrutte', 'politiek', 'economie', 'inflatie', 'forumvoordemocratie', 'thierrybaudet']",Bedankt Rutte! #thierrybaudet #forumvoordemocratie #politiek #nederland #markrutte #inflatie #economie,Bedankt Rutte,"['bedankt', 'rutte']",9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.3958
7086011722594635013,2022-04-13 09:04:33,2022-04-01,1649840673,42892,490,21,39,,['fvd'],Throwback 😂 #FVD,Throwback,['throwback'],9,"wil, zich, rutte, gideon, meijeren, eens, jonge, maken, einde, burger",0.6291
7086062528790416645,2022-04-13 12:21:41,2022-04-01,1649852501,14536,343,18,13,,['fvd'],Pepijn van Houwelingen zat aan tafel bij een discussie over inflatie. Helaas was de voorzitter van de VVD… #FVD,Pepijn van Houwelingen zat aan tafel bij een discussie over inflatie Helaas was de voorzitter van de VVD,"['pepijn', 'houwelingen', 'zat', 'tafel', 'discussie', 'inflatie', 'helaas', 'voorzitter', 'vvd']",5,"worden, vvd, goed, pepijn, houwelingen, betaald, navo, gekocht, standpunten, expert",0.934
7086127158250196229,2022-04-13 16:32:28,2022-04-01,1649867548,41672,679,82,60,,[],Door wie wordt het land bestuurd?,Door wie wordt het land bestuurd,"['wordt', 'land', 'bestuurd']",6,"nederlandse, immigratie, land, wordt, bevolking, minder, ten, mark, rutte, ziet",0.8271
7086184158380215557,2022-04-13 20:13:39,2022-04-01,1649880819,25939,783,88,68,,[],"Wie kan het land beter besturen? Mark Rutte, of de Nederlandse bevolking? Thierry Baudet weet het antwoord wel:",Wie kan het land beter besturen Mark Rutte of de Nederlandse bevolking Thierry Baudet weet het antwoord wel,"['land', 'beter', 'besturen', 'mark', 'rutte', 'nederlandse', 'bevolking', 'thierry', 'baudet', 'weet', 'antwoord']",6,"nederlandse, immigratie, land, wordt, bevolking, minder, ten, mark, rutte, ziet",0.7744
7086422451722177798,2022-04-14 11:38:22,2022-04-01,1649936302,23408,508,12,30,,['fvd'],Het is ook altijd hetzelfde in Den Haag… #fvd,Het is ook altijd hetzelfde in Den Haag,"['hetzelfde', 'den', 'haag']",7,"forum, thierry, baudet, via, inside, vanavond, veel, grootste, hetzelfde, miljard",0.8353
7089047551097195782,2022-04-21 13:25:06,2022-04-01,1650547506,16481,260,26,26,,['fvd'],Als zelfs de spreekwoorden niet meer kunnen… #fvd,Als zelfs de spreekwoorden niet meer kunnen,['spreekwoorden'],7,"forum, thierry, baudet, via, inside, vanavond, veel, grootste, hetzelfde, miljard",0.641
